Name,Date,Opening Price,Closing Price
Apple,2021-02-22,128.01,126.0
Apple,2021-02-23,123.76,125.86
Apple,2021-02-24,124.94,125.35
Apple,2021-02-25,124.68,120.99
Apple,2021-02-26,122.59,121.26
Apple,2021-03-01,123.75,127.79
Apple,2021-03-02,128.41,125.12
Apple,2021-03-03,124.81,122.06
Apple,2021-03-04,121.75,120.13
Apple,2021-03-05,120.98,121.42
Apple,2021-03-08,120.93,116.36
Apple,2021-03-09,119.03,121.09
Apple,2021-03-10,121.69,119.98
Apple,2021-03-11,122.54,121.96
Apple,2021-03-12,120.4,121.03
Apple,2021-03-15,121.41,123.99
Apple,2021-03-16,125.7,125.57
Apple,2021-03-17,124.05,124.76
Apple,2021-03-18,122.88,120.53
Apple,2021-03-19,119.9,119.99
Apple,2021-03-22,120.33,123.39
Apple,2021-03-23,123.33,122.54
Apple,2021-03-24,122.82,120.09
Apple,2021-03-25,119.54,120.59
Apple,2021-03-26,120.35,121.21
Apple,2021-03-29,121.65,121.39
Apple,2021-03-30,120.11,119.9
Apple,2021-03-31,121.65,122.15
Apple,2021-04-01,123.66,123.0
Apple,2021-04-05,123.87,125.9
Apple,2021-04-06,126.5,126.21
Apple,2021-04-07,125.83,127.9
Apple,2021-04-08,128.95,130.36
Apple,2021-04-09,129.8,133.0
Apple,2021-04-12,132.52,131.24
Apple,2021-04-13,132.44,134.43
Apple,2021-04-14,134.94,132.03
Apple,2021-04-15,133.82,134.5
Apple,2021-04-16,134.3,134.16
Apple,2021-04-19,133.51,134.84
Apple,2021-04-20,135.02,133.11
Apple,2021-04-21,132.36,133.5
Apple,2021-04-22,133.04,131.94
Apple,2021-04-23,132.16,134.32
Apple,2021-04-26,134.83,134.72
Apple,2021-04-27,135.01,134.39
Apple,2021-04-28,134.31,133.58
Apple,2021-04-29,136.47,133.48
Apple,2021-04-30,131.78,131.46
Apple,2021-05-03,132.04,132.54
Apple,2021-05-04,131.19,127.85
Apple,2021-05-05,129.2,128.1
Apple,2021-05-06,127.89,129.74
Apple,2021-05-07,130.85,130.21
Apple,2021-05-10,129.41,126.85
Apple,2021-05-11,123.5,125.91
Apple,2021-05-12,123.4,122.77
Apple,2021-05-13,124.58,124.97
Apple,2021-05-14,126.25,127.45
Apple,2021-05-17,126.82,126.27
Apple,2021-05-18,126.56,124.85
Apple,2021-05-19,123.16,124.69
Apple,2021-05-20,125.23,127.31
Apple,2021-05-21,127.82,125.43
Apple,2021-05-24,126.01,127.1
Apple,2021-05-25,127.82,126.9
Apple,2021-05-26,126.96,126.85
Apple,2021-05-27,126.44,125.28
Apple,2021-05-28,125.57,124.61
Apple,2021-06-01,125.08,124.28
Apple,2021-06-02,124.28,125.06
Apple,2021-06-03,124.68,123.54
Apple,2021-06-04,124.07,125.89
Apple,2021-06-07,126.17,125.9
Apple,2021-06-08,126.6,126.74
Apple,2021-06-09,127.21,127.13
Apple,2021-06-10,127.02,126.11
Apple,2021-06-11,126.53,127.35
Apple,2021-06-14,127.82,130.48
Apple,2021-06-15,129.94,129.64
Apple,2021-06-16,130.37,130.15
Apple,2021-06-17,129.8,131.79
Apple,2021-06-18,130.71,130.46
Apple,2021-06-21,130.3,132.3
Apple,2021-06-22,132.13,133.98
Apple,2021-06-23,133.77,133.7
Apple,2021-06-24,134.45,133.41
Apple,2021-06-25,133.46,133.11
Apple,2021-06-28,133.41,134.78
Apple,2021-06-29,134.8,136.33
Apple,2021-06-30,136.17,136.96
Apple,2021-07-01,136.6,137.27
Apple,2021-07-02,137.9,139.96
Apple,2021-07-06,140.07,142.02
Apple,2021-07-07,143.54,144.57
Apple,2021-07-08,141.58,143.24
Apple,2021-07-09,142.75,145.11
Apple,2021-07-12,146.21,144.5
Apple,2021-07-13,144.03,145.64
Apple,2021-07-14,148.1,149.15
Apple,2021-07-15,149.24,148.48
Apple,2021-07-16,148.46,146.39
Apple,2021-07-19,143.75,142.45
Apple,2021-07-20,143.46,146.15
Apple,2021-07-21,145.53,145.4
Apple,2021-07-22,145.94,146.8
Apple,2021-07-23,147.55,148.56
Apple,2021-07-26,148.27,148.99
Apple,2021-07-27,149.12,146.77
Apple,2021-07-28,144.81,144.98
Apple,2021-07-29,144.69,145.64
Apple,2021-07-30,144.38,145.86
Apple,2021-08-02,146.36,145.52
Apple,2021-08-03,145.81,147.36
Apple,2021-08-04,147.27,146.95
Apple,2021-08-05,146.98,147.06
Apple,2021-08-06,146.35,146.14
Apple,2021-08-09,146.2,146.09
Apple,2021-08-10,146.44,145.6
Apple,2021-08-11,146.05,145.86
Apple,2021-08-12,146.19,148.89
Apple,2021-08-13,148.97,149.1
Apple,2021-08-16,148.54,151.12
Apple,2021-08-17,150.23,150.19
Apple,2021-08-18,149.8,146.36
Apple,2021-08-19,145.03,146.7
Apple,2021-08-20,147.44,148.19
Apple,2021-08-23,148.31,149.71
Apple,2021-08-24,149.45,149.62
Apple,2021-08-25,149.81,148.36
Apple,2021-08-26,148.35,147.54
Apple,2021-08-27,147.48,148.6
Apple,2021-08-30,149.0,153.12
Apple,2021-08-31,152.66,151.83
Apple,2021-09-01,152.83,152.51
Apple,2021-09-02,153.87,153.65
Apple,2021-09-03,153.76,154.3
Apple,2021-09-07,154.97,156.69
Apple,2021-09-08,156.98,155.11
Apple,2021-09-09,155.49,154.07
Apple,2021-09-10,155.0,148.97
Apple,2021-09-13,150.63,149.55
Apple,2021-09-14,150.35,148.12
Apple,2021-09-15,148.56,149.03
Apple,2021-09-16,148.44,148.79
Apple,2021-09-17,148.82,146.06
Apple,2021-09-20,143.8,142.94
Apple,2021-09-21,143.93,143.43
Apple,2021-09-22,144.45,145.85
Apple,2021-09-23,146.65,146.83
Apple,2021-09-24,145.66,146.92
Apple,2021-09-27,145.47,145.37
Apple,2021-09-28,143.25,141.91
Apple,2021-09-29,142.47,142.83
Apple,2021-09-30,143.66,141.5
Apple,2021-10-01,141.9,142.65
Apple,2021-10-04,141.76,139.14
Apple,2021-10-05,139.49,141.11
Apple,2021-10-06,139.47,142.0
Apple,2021-10-07,143.06,143.29
Apple,2021-10-08,144.03,142.9
Apple,2021-10-11,142.27,142.81
Apple,2021-10-12,143.23,141.51
Apple,2021-10-13,141.24,140.91
Apple,2021-10-14,142.11,143.76
Apple,2021-10-15,143.77,144.84
Apple,2021-10-18,143.45,146.55
Apple,2021-10-19,147.01,148.76
Apple,2021-10-20,148.7,149.26
Apple,2021-10-21,148.81,149.48
Apple,2021-10-22,149.69,148.69
Apple,2021-10-25,148.68,148.64
Apple,2021-10-26,149.33,149.32
Apple,2021-10-27,149.36,148.85
Apple,2021-10-28,149.82,152.57
Apple,2021-10-29,147.22,149.8
Apple,2021-11-01,148.99,148.96
Apple,2021-11-02,148.66,150.02
Apple,2021-11-03,150.39,151.49
Apple,2021-11-04,151.58,150.96
Apple,2021-11-05,151.89,151.28
Apple,2021-11-08,151.41,150.44
Apple,2021-11-09,150.2,150.81
Apple,2021-11-10,150.02,147.92
Apple,2021-11-11,148.96,147.87
Apple,2021-11-12,148.43,149.99
Apple,2021-11-15,150.37,150.0
Apple,2021-11-16,149.94,151.0
Apple,2021-11-17,151.0,153.49
Apple,2021-11-18,153.71,157.87
Apple,2021-11-19,157.65,160.55
Apple,2021-11-22,161.68,161.02
Apple,2021-11-23,161.12,161.41
Apple,2021-11-24,160.75,161.94
Apple,2021-11-26,159.57,156.81
Apple,2021-11-29,159.37,160.24
Apple,2021-11-30,159.99,165.3
Apple,2021-12-01,167.48,164.77
Apple,2021-12-02,158.74,163.76
Apple,2021-12-03,164.02,161.84
Apple,2021-12-06,164.29,165.32
Apple,2021-12-07,169.08,171.18
Apple,2021-12-08,172.13,175.08
Apple,2021-12-09,174.91,174.56
Apple,2021-12-10,175.21,179.45
